Dealer Name,Email,Batch,Date Sent
"SONS Honda",cmiller@sonsautogroup.com,2,2025-12-18
"Warner Robins Chrysler Dodge Jeep Ram FIAT",csalinas@fivestaronline.net,2,2025-12-18
"Five Star Ford of Warner Robins",erandolph@fivestaronline.net,2,2025-12-18
"Chatham Subaru",shabeebullah@cptoyota.com,2,2025-12-18
"Five Star Hyundai of Macon",khartness@fivestaronline.net,2,2025-12-18
"Mercedes-Benz of Athens",nmbzvwathens@eleadtrack.net,2,2025-12-18
"Courtesy Ford of Rome",leads@drivecourtesyfordofrome.com,2,2025-12-18
"Acura of Athens",branton@acuraofathens.com,2,2025-12-18
"Daniels Chevrolet GMC",rich.daniels@danielschev.com,2,2025-12-18
"Five Brothers Auto Sales LLC",sales@fivebrothersautosales.com,2,2025-12-18
"Peach State Motors",lead@peachstatemotors.net,2,2025-12-18
"Georgia Luxury Automotive Smyrna",f1smyrna@gmail.com,2,2025-12-18
"Global Pre-Owned Auto Sales",pat@globalpreownedauto.com,2,2025-12-18
"JZ Auto Sales Inc",finance@jzautosalesinc.com,2,2025-12-18
"Lou Sobh Kia of Newnan",lskngeninfo@lousobhauto.com,2,2025-12-18
"Sosa Automotive Group",buyasosa@sosaauto.com,2,2025-12-18
"Carriage Used Cars",contactus@carriageusedcars.com,2,2025-12-18
"Sabrina Auto Sales",sabrinaautosales@sabrinaautosales.com,2,2025-12-18
"Drive City",drivecityautos@gmail.com,2,2025-12-18
"Jrs Autobuyers",jrsautobuyers@yahoo.com,2,2025-12-18
"Southern Auto Brokers, Inc",sabbrokers@aol.com,2,2025-12-18
"Choice Automotive Group",sales@choiceautomotivegroup.com,2,2025-12-18
"Atlanta Prime Motors LLC.",atlantaprimemotors@gmail.com,2,2025-12-18
"Tokman Auto Sales",tokman41@gmail.com,2,2025-12-18
"Ridley Rides",ridleyrides2020@gmail.com,2,2025-12-18
"Rick Hendrick Chevrolet Atlanta",shon.phillips@hendrickauto.com,2,2025-12-18
"AutoNation Toyota Thornton Road",gm2224@autonation.com,2,2025-12-18
"Jim Ellis Toyota of McDonough",tomquote@jimellis.com,2,2025-12-18
"Nalley Lexus Smyrna",lexusdigital@asburyauto.com,2,2025-12-18
"Athens Ford",feedback@athensford.com,2,2025-12-18
"Riverside Toyota",johna@riversideautogroup.com,2,2025-12-18
"Stone Mountain Volkswagen",sales@stonemountainvw.com,2,2025-12-18
"Carriage Kia of Woodstock",wecare@carriagekiawoodstock.com,2,2025-12-18
"Five Star Nissan",sales@fivestarnissanwr.edealerhub.com,2,2025-12-18
"ALM Kennesaw",sales@almathens.com,2,2025-12-18
"ALM Newnan",sales@almathens.com,2,2025-12-18
"Five Star Hyundai of Warner Robins",gclark@fivestaronline.net,2,2025-12-18
"Scott Evans Nissan",sales@scottevansnissan.edealerhub.com,2,2025-12-18
"Five Star Chrysler Dodge Jeep Ram Albany",bhardison@fivestaronline.net,2,2025-12-18
"Troncalli CDJR",sales@troncalli.com,2,2025-12-18
"AX Auto Inc.",webleads@axauto.dsmessage.com,2,2025-12-18
"Butler Nissan",butlernissanga@eleadtrack.net,2,2025-12-18
"Automania, INC",sales@automania.us,2,2025-12-18
"Langdale Honda of Valdosta",wkautzman@langdalehonda.com,2,2025-12-18
"Hutchinson Kia of Albany",david.dicecco@hutchinsonautogroup.com,2,2025-12-18
"Trinity Motorcar Company",powerpicker@gmail.com,2,2025-12-18
