Name,Address,Phone,Website,Email,All Emails,Google Maps,Rating,Reviews,City
"ATLANTA TRUE CARS","4539 Buford Hwy NE, Atlanta, GA 30341, USA","(678) 825-2743","http://www.atlantatruecars.com/","atlantatruecars@gmail.com","atlantatruecars@gmail.com; emily@vehica.com; george@vehica.com; isabella@vehica.com; jacob@vehica.com; kate@vehica.com; ralph@vehica.com","https://maps.google.com/?cid=13559554975867119666",5,12,"Brookhaven, GA"
"Kenny's Automotive Center","3320 N Expy, Griffin, GA 30223, USA","(770) 227-7090","http://kenneysautomotive.com/","byronk515@gmail.com","byronk515@gmail.com","https://maps.google.com/?cid=3450322933116873852",5,10,"Griffin, GA"
"Autos Buy Don","4172 Jodeco Rd, Stockbridge, GA 30281, USA","(770) 633-6500","http://www.autosbuydon.com/","autosbuydon@gmail.com","autosbuydon@gmail.com","https://maps.google.com/?cid=9363250982692104044",5,8,"Stockbridge, GA"
"The Car Market","255 Racetrack Rd, McDonough, GA 30252, USA","(770) 302-0381","https://thecarmarketbuyers.com/","thecarmarketbuyers@gmail.com","thecarmarketbuyers@gmail.com","https://maps.google.com/?cid=7264321263532044031",5,6,"McDonough, GA"
"Galaxy Car Sales LLC.","5555 Glenridge Con Suite 200, Sandy Springs, GA 30342, USA","(404) 587-5724","https://galaxycarsalesllc.com/","james.belisha@gmail.com","james.belisha@gmail.com","https://maps.google.com/?cid=6484996034667989924",5,3,"Sandy Springs, GA"
"Better Way Auto Sales - McDonough GA","317 Keys Ferry St, McDonough, GA 30253, USA","(470) 507-0037","https://betterwayautosalesga.com/","bwautosalesga@gmail.com","bwautosalesga@gmail.com","https://maps.google.com/?cid=2272117459600840458",5,2,"McDonough, GA"
"Parwan Auto LLC","23 Eastbrook Bend, Peachtree City, GA 30269, USA","(470) 278-8181","http://parwanautollc.com/","zacwakili2005@gmail.com","zacwakili2005@gmail.com","https://maps.google.com/?cid=5068877132511678696",5,1,"Peachtree City, GA"
"Georgia Hwy 20 Auto Sales Service & Finance LLC","12274 Cumming Hwy, Canton, GA 30115, USA","(470) 253-7210","https://www.georgiaautosale.com/","sales@georgiaautosale.com","sales@georgiaautosale.com","https://maps.google.com/?cid=7365369850663857224",5,1,"Canton, GA"
"Rainey Used Cars-Albany Ledo","1808 Ledo Rd, Albany, GA 31707, USA","(229) 888-2233","http://www.raineyusedcars.com/?utm_source=googlemybusiness&utm_medium=organic","info@raineyga.com","info@raineyga.com","https://maps.google.com/?cid=13865575658748379558",4.9,2169,"Albany, GA"
"Rainey Used Cars-Albany Slappey","807 S Slappey Blvd, Albany, GA 31701, USA","(229) 518-3626","http://www.raineyusedcars.com/?utm_source=googlemybusiness&utm_medium=organic","info@raineyga.com","info@raineyga.com","https://maps.google.com/?cid=8834626893170152527",4.9,1478,"Albany, GA"
"Velocity Auto Motors","3615 Francis Cir STE 300, Alpharetta, GA 30004, USA","(678) 882-7990","https://velocityautomotors.com/","velocityautomotors@gmail.com","velocityautomotors@gmail.com","https://maps.google.com/?cid=8293861492751912186",4.9,610,"Alpharetta, GA"
"Kennesaw Mazda","3047 Cobb Pkwy N, Kennesaw, GA 30152, USA","(678) 671-5133","https://www.kennesawmazda.com/","dnesmith@kennesawmazda.com","dnesmith@kennesawmazda.com","https://maps.google.com/?cid=15799042677502968706",4.9,212,"Kennesaw, GA"
"SINGLEE MOTORS LLC","1905 Gordon Hwy, Augusta, GA 30909, USA","(706) 426-6582","https://singleemotors.com/","info@singleemotors.com","info@singleemotors.com","https://maps.google.com/?cid=14119857950253213597",4.9,167,"Augusta, GA"
"Carpet Capitol Auto Sales","3101 E Walnut Ave, Dalton, GA 30721, USA","(706) 226-6595","https://carpetcapitolauto.com/","carpetcapitolautosales@windstream.net","carpetcapitolautosales@windstream.net","https://maps.google.com/?cid=4254230996925483686",4.9,112,"Dalton, GA"
"Max Lots of Atlanta, LLC","107 Temple Ave, Newnan, GA 30263, USA","(678) 633-5323","http://maxlotsofatlanta.com/","westdukesmaxlots@gmail.com","westdukesmaxlots@gmail.com","https://maps.google.com/?cid=18149638882454969489",4.9,72,"Newnan, GA"
"A1 Auto Source","2203 GA-42, Jenkinsburg, GA 30234, USA","(678) 774-8424","http://www.a1autosource.net/","sales@a1autosource.net","sales@a1autosource.net","https://maps.google.com/?cid=14214539705049636945",4.9,70,"McDonough, GA"
"Motorzone Atlanta","6428 Dawson Blvd Suite 1752, Norcross, GA 30093, USA","(404) 610-0637","https://motorzoneatlanta.com/","dhruv20patel@yahoo.com","dhruv20patel@yahoo.com","https://maps.google.com/?cid=5935550113787652888",4.9,65,"Atlanta, GA"
"DDG USED CARS","523 W Poplar St Suite 2, Griffin, GA 30224, USA","(404) 383-4787","http://ddgcars.com/","sales@ddgcars.com","sales@ddgcars.com","https://maps.google.com/?cid=2402427343071793929",4.9,44,"Griffin, GA"
"McDonough Luxury Motors LLC","1700 Pennsylvania Ave, McDonough, GA 30253, USA","(678) 272-0604","https://mcdonoughluxurymotors.com/","dharris@mcdonoughluxurymotors.com","dharris@mcdonoughluxurymotors.com","https://maps.google.com/?cid=1846255878124830351",4.9,12,"McDonough, GA"
"A&L Luxury Autos","155 Westridge Pkwy #218, McDonough, GA 30253, USA","(404) 884-6744","https://alluxuryautos.com/","contact@alluxuryautos.com","contact@alluxuryautos.com","https://maps.google.com/?cid=15488354139139534029",4.9,8,"McDonough, GA"
"Atlanta Toyota","2345 Pleasant Hill Rd, Duluth, GA 30096, USA","(678) 280-7095","https://www.atlantatoyota.com/?utm_source=google&utm_medium=organic&utm_campaign=gmbsales","webleads@atlantatoyota.dsmessage.com","webleads@atlantatoyota.dsmessage.com","https://maps.google.com/?cid=5895288679930859934",4.8,12607,"Atlanta, GA"
"Rick Hendrick Toyota Sandy Springs","6475 Roswell Rd, Atlanta, GA 30328, USA","(404) 476-3921","https://www.rickhendricktoyotasandysprings.com/?utm_source=weblistings&utm_medium=organic&utm_campaign=hendricklocallistings","demarius.henderson@hendrickauto.com","demarius.henderson@hendrickauto.com","https://maps.google.com/?cid=17591115492914455031",4.8,12338,"Sandy Springs, GA"
"Heyward Allen Toyota","2910 Atlanta Hwy, Athens, GA 30606, USA","(706) 369-5020","https://www.heywardallentoyota.com/?utm_source=GMBlisting&utm_medium=organic&utm_campaign=sales","cheinz@heywardallentoyota.com","cheinz@heywardallentoyota.com","https://maps.google.com/?cid=7478018208613888599",4.8,8862,"Athens, GA"
"Ed Voyles Acura","5700 Peachtree Blvd, Chamblee, GA 30341, USA","(770) 452-8800","http://www.edvoylesacura.com/?utm_source=google&utm_medium=organic&utm_campaign=googlemybusiness","jelliott@edvoyles.com","jelliott@edvoyles.com","https://maps.google.com/?cid=18225583259556204942",4.8,5102,"Brookhaven, GA"
"Honda of Newnan","391 Newnan Crossing Bypass, Newnan, GA 30265, USA","(678) 552-2071","https://www.hondaofnewnan.com/?utm_source=weblistings&utm_medium=organic&utm_campaign=hendricklocallistings","hhninquiries@hendrickauto.com","hhninquiries@hendrickauto.com","https://maps.google.com/?cid=11997277514686126018",4.8,5049,"Newnan, GA"
"Five Star Nissan of Albany","1100 E Oglethorpe Blvd, Albany, GA 31705, USA","(229) 335-7596","https://www.nissanofalbany.com/?utm_source=google&utm_medium=organic&utm_campaign=google_my_business","sales@fivestarnissanalbany.edealerhub.com","sales@fivestarnissanalbany.edealerhub.com","https://maps.google.com/?cid=2244033001835115906",4.8,3660,"Albany, GA"
"Walsh Honda","2056 Eisenhower Pkwy, Macon, GA 31206, USA","(478) 788-4510","https://www.walshhonda.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp","sales@walshhonda.edealerhub.com","sales@walshhonda.edealerhub.com","https://maps.google.com/?cid=13833365673852996581",4.8,3601,"Macon, GA"
"Phil Hughes Honda","3200 Atlanta Hwy, Athens, GA 30606, USA","(706) 247-7005","https://www.philhugheshonda.com/?utm_source=google_my_business&utm_medium=organic","sales@philhugheshonda.edealerhub.com","sales@philhugheshonda.edealerhub.com","https://maps.google.com/?cid=4929889000309000595",4.8,3170,"Athens, GA"
"Rainey Used Cars-Albany Oglethorpe","706 E Oglethorpe Blvd, Albany, GA 31705, USA","(229) 438-1873","http://www.raineyusedcars.com/?utm_source=googlemybusiness&utm_medium=organic","info@raineyga.com","info@raineyga.com","https://maps.google.com/?cid=4964846074093582584",4.8,3170,"Albany, GA"
"RBM of Alpharetta","345 McFarland Pkwy, Alpharetta, GA 30004, USA","(678) 637-2333","https://www.rbmofalpharetta.com/?utm_source=google&utm_medium=organic&utm_campaign=googlemybusiness","webleads@rbmofalpharetta.com","webleads@rbmofalpharetta.com","https://maps.google.com/?cid=8979650354249536613",4.8,2890,"Alpharetta, GA"
"Jim Hudson Acura","3520 Washington Rd, Martinez, GA 30907, USA","(706) 751-6579","https://jimhudsonacura.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_content=main_website_link","contact@jimhudsonacura.com","contact@jimhudsonacura.com; hey@intice.com","https://maps.google.com/?cid=13888740915794111414",4.8,1949,"Augusta, GA"
"BMW of Columbus","6549 Whittlesey Blvd, Columbus, GA 31909, USA","(706) 917-4905","https://www.bmwofcolumbus.com/","georgia.simonds@bmwofcolumbus.com","georgia.simonds@bmwofcolumbus.com","https://maps.google.com/?cid=18327248085643411212",4.8,1828,"Columbus, GA"
"Mercedes-Benz of Macon","4781 Riverside Dr, Macon, GA 31210, USA","(478) 200-2306","https://www.mercedesbenzofmacon.com/?utm_source=google&utm_medium=organic&utm_campaign=google_my_business&utm_content=website_button","sales@mbvolvosubaru.edealerhub.com","sales@mbvolvosubaru.edealerhub.com","https://maps.google.com/?cid=18061685805470858111",4.8,1592,"Macon, GA"
"Jim Hudson Lexus Augusta","3410 Washington Rd, Augusta, GA 30907, USA","(706) 760-3340","https://www.augustalexus.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_content=main_website_link","jimhudsonlexusaugusta@eleadtrack.net","jimhudsonlexusaugusta@eleadtrack.net","https://maps.google.com/?cid=15585757824140091614",4.8,1513,"Augusta, GA"
"Genesis of Kennesaw","2870 Barrett Lakes Blvd, Kennesaw, GA 30144, USA","(470) 374-5367","https://genesiskennesaw.com/?utm_source=GBP&utm_medium=Organic&utm_campaign=Sales+August%2025","ctompkins@genesisofkennesaw.com","ctompkins@genesisofkennesaw.com","https://maps.google.com/?cid=15430981732195866979",4.8,1009,"Kennesaw, GA"
"Acura of Columbus","6549 Whittlesey Blvd, Columbus, GA 31909, USA","(706) 917-4684","https://www.acuraofcolumbus.com/","sales@acuracolumbus.edealerhub.com","sales@acuracolumbus.edealerhub.com","https://maps.google.com/?cid=13966562100151651422",4.8,932,"Columbus, GA"
"Athens BMW","3040 Atlanta Hwy, Athens, GA 30606, USA","(706) 549-5340","https://www.athensbmw.com/?utm_source=google&utm_medium=organic&utm_campaign=googlemybusiness","jessica.sopson@athensbmw.com","jessica.sopson@athensbmw.com","https://maps.google.com/?cid=14513166947023769379",4.8,878,"Athens, GA"
"1 Owner Auto Sales","6150 Stewart Pkwy, Douglasville, GA 30135, USA","(770) 949-0440","https://inv3.1ownerautosales.net/","1ownerautosales@gmail.com","1ownerautosales@gmail.com; ls1owner@att.net","https://maps.google.com/?cid=15732250469920798113",4.8,813,"Douglasville, GA"
"Foster Auto Sales","5300 Hawkinsville Rd, Macon, GA 31216, USA","(478) 236-2075","https://www.fosterautosales.net/","dfoster@fosterautosales.net","dfoster@fosterautosales.net","https://maps.google.com/?cid=3630465790559784520",4.8,411,"Macon, GA"
"McDaniels Acura of Newnan","8000 McIntosh Pkwy, Newnan, GA 30263, USA","(470) 400-1197","https://www.mcdanielsacuraofnewnan.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb-main","leads@mcdanielsnewnan.com","leads@mcdanielsnewnan.com","https://maps.google.com/?cid=15056011257897502697",4.8,323,"Newnan, GA"
"Bullock's Auto Sales","101 a Walden St NW, Wrens, GA 30833, USA","(706) 547-7767","http://www.bullocksauto.com/","bullocksautosales@gmail.com","bullocksautosales@gmail.com","https://maps.google.com/?cid=1577440138974248057",4.8,281,"Statesboro, GA"
"Mi Carro Auto Sales","3461 S Cobb Dr SE, Smyrna, GA 30080, USA","(770) 431-2083","http://micarroautosales.com/","micarroautosales@gmail.com","micarroautosales@gmail.com","https://maps.google.com/?cid=11644292009784411763",4.8,197,"Smyrna, GA"
"Merlin Auto Group","2882 Amwiler Rd, Atlanta, GA 30360, USA","(770) 790-5415","https://www.merlinautogroup.com/","sales@merlinautogroup.com","sales@merlinautogroup.com","https://maps.google.com/?cid=2114566620089336218",4.8,141,"Dunwoody, GA"
"J Martin Auto","75 Mulberry Commercial Pkwy Park, Richmond Hill, GA 31324, USA","(912) 445-0059","http://www.jmartinauto.com/","jmartinautobrokers@gmail.com","jmartinautobrokers@gmail.com","https://maps.google.com/?cid=11142262784177403369",4.8,91,"Hinesville, GA"
"Savannah Auto Trader","5124 Augusta Rd, Savannah, GA 31408, USA","(912) 921-2195","https://savannahautotrader.com/","info@savannahautotrader.com","info@savannahautotrader.com","https://maps.google.com/?cid=6612978785580478877",4.8,71,"Savannah, GA"
"1 Car For You Auto Sales LLC","5950 Crooked Creek Rd NW Suite #170A, Peachtree Corners, GA 30092, USA","(678) 791-6431","https://www.1morecar4you.com/","1carforyou3000@gmail.com","1carforyou3000@gmail.com","https://maps.google.com/?cid=7744740360772144067",4.8,24,"Johns Creek, GA"
"Turn and Burn Motors Griffin","910 W Taylor St, Griffin, GA 30224, USA","(678) 256-3023","https://turnandburnmotors.com/griffin-cars/?offer-type=griffin-trucks&current-page=1&sort-by=newest","turnandburnmotors@gmail.com","turnandburnmotors@gmail.com","https://maps.google.com/?cid=12965152917629967816",4.8,21,"Griffin, GA"
"Diverse Motors Auto Center","353 Memorial Dr, Hinesville, GA 31313, USA","(912) 432-8568","https://diversemotorsautocenter.com/","vin_dm@outlook.com","vin_dm@outlook.com","https://maps.google.com/?cid=11264418115966293638",4.8,21,"Hinesville, GA"
"Freedom Auto Sales","3298 US-27, Carrollton, GA 30117, USA","(678) 664-2686","https://drivefreedomautos.com/contact","daniel.brown@drivefreedomautos.com","daniel.brown@drivefreedomautos.com","https://maps.google.com/?cid=15968461161490362640",4.8,16,"Carrollton, GA"
"Rick Hendrick Chrysler Dodge Jeep RAM Duluth","2473 Pleasant Hill Rd, Duluth, GA 30096, USA","(678) 369-6704","https://www.hendrickcdjratlanta.com/?utm_source=weblistings&utm_medium=organic&utm_campaign=hendricklocallistings","gcj-managers@hendrickauto.com","gcj-managers@hendrickauto.com","https://maps.google.com/?cid=14201700079204207047",4.7,10389,"Duluth, GA"
"Rick Hendrick Buick GMC","3244 Commerce Ave NW, Duluth, GA 30096, USA","(770) 954-8718","https://www.rickhendrickbuickgmcatlanta.com/?utm_source=weblistings&utm_medium=organic&utm_campaign=hendricklocallistings","sunshine.dehass@hendrickauto.com","sunshine.dehass@hendrickauto.com","https://maps.google.com/?cid=8870525152009669791",4.7,8239,"Duluth, GA"
"Lowe Toyota of Warner Robins","375 S Houston Lake Rd, Warner Robins, GA 31088, USA","(478) 971-5693","https://www.lowetoyota.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp_listing_main","jsmith@lowetoyota.com","jsmith@lowetoyota.com","https://maps.google.com/?cid=16574662621187377368",4.7,7410,"Warner Robins, GA"
"SONS Honda","105 Sons Dr, McDonough, GA 30253, USA","(470) 204-2530","https://www.sonshonda.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_term=gbp","cmiller@sonsautogroup.com","cmiller@sonsautogroup.com","https://maps.google.com/?cid=2743904207662117391",4.7,6181,"McDonough, GA"
"Warner Robins Chrysler Dodge Jeep Ram FIAT","2817 Watson Blvd, Warner Robins, GA 31093, USA","(478) 306-1435","https://www.warnerrobinscdjr.com/?utm_source=google&utm_medium=organic&utm_campaign=google_my_business","csalinas@fivestaronline.net","csalinas@fivestaronline.net","https://maps.google.com/?cid=13034087821840351721",4.7,4825,"Warner Robins, GA"
"Five Star Ford of Warner Robins","900 Russell Pkwy, Warner Robins, GA 31088, USA","(478) 306-1617","https://www.fivestarfordga.com/?utm_source=google&utm_medium=organic&utm_campaign=google_my_business","erandolph@fivestaronline.net","erandolph@fivestaronline.net","https://maps.google.com/?cid=16776689968048900134",4.7,4073,"Warner Robins, GA"
"Grainger Nissan","1550 Chatham Pkwy, Garden City, GA 31408, USA","(912) 358-5858","https://www.graingernissan.com/","gnleads@graingernissan.com","gnleads@graingernissan.com","https://maps.google.com/?cid=12143939131256066030",4.7,2588,"Pooler, GA"
"Chatham Subaru","100 Kita Ave, Pooler, GA 31322, USA","(912) 330-2389","https://www.cpsubaru.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp-main","shabeebullah@cptoyota.com","shabeebullah@cptoyota.com","https://maps.google.com/?cid=18355104174447764995",4.7,2255,"Pooler, GA"
"Mercedes-Benz of Athens","1886 Luxury Dr, Watkinsville, GA 30677, USA","(706) 549-6585","https://www.mercedesbenzofathens.com/?utm_source=google&utm_medium=organic&utm_campaign=google-my-business","nmbzvwathens@eleadtrack.net","nmbzvwathens@eleadtrack.net","https://maps.google.com/?cid=1544678534759477855",4.7,1711,"Athens, GA"
"Daniels Chevrolet GMC","365 E Main St, Swainsboro, GA 30401, USA","(478) 237-4111","https://www.danielschev.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp","rich.daniels@danielschev.com","rich.daniels@danielschev.com","https://maps.google.com/?cid=12472801059150552058",4.7,791,"Statesboro, GA"
"Peach State Motors","5799 GA-92, Acworth, GA 30102, USA","(678) 273-3391","https://www.peachstatemotors.com/","lead@peachstatemotors.net","lead@peachstatemotors.net","https://maps.google.com/?cid=3243632938815521415",4.7,772,"Woodstock, GA"
"Georgia Luxury Automotive Smyrna","2972 Ask-Kay Dr, Smyrna, GA 30082, USA","(770) 431-0303","http://georgialuxuryautomotive.com/","f1smyrna@gmail.com","f1smyrna@gmail.com; glasmyrna@gmail.com; glaconcord@gmail.com; shellee.gla@gmail.com; glalively1@gmail.com; glaalpharetta@gmail.com","https://maps.google.com/?cid=9131568510009306068",4.7,714,"Smyrna, GA"
"Global Pre-Owned Auto Sales","320 Glynn St S, Fayetteville, GA 30214, USA","(770) 461-2080","http://www.globalpreownedauto.com/","pat@globalpreownedauto.com","pat@globalpreownedauto.com","https://maps.google.com/?cid=1016991508612660682",4.7,446,"Peachtree City, GA"
"Golf Rider","112 Huddleston Rd, Peachtree City, GA 30269, USA","(770) 631-0014","http://www.golfrider.com/","ex@mple.com","ex@mple.com","https://maps.google.com/?cid=14156697994457193091",4.7,313,"Peachtree City, GA"
"Lou Sobh Kia of Newnan","2905 E Hwy 34, Newnan, GA 30265, USA","(678) 578-4573","http://www.lousobhkianewnan.com/?utm_source=google&utm_medium=organic&utm_campaign=googlemybusiness","lskngeninfo@lousobhauto.com","lskngeninfo@lousobhauto.com","https://maps.google.com/?cid=15532412078351277059",4.7,296,"Peachtree City, GA"
"Sosa Automotive Group","1616 Atlanta Hwy, Gainesville, GA 30504, USA","(678) 943-8896","http://sosaauto.com/","buyasosa@sosaauto.com","buyasosa@sosaauto.com","https://maps.google.com/?cid=1006732935704203578",4.7,287,"Gainesville, GA"
"Carriage Used Cars","2350 Browns Bridge Rd, Gainesville, GA 30504, USA","(770) 536-0745","https://www.carriageusedcars.com/?utm_source=gmb&utm_medium=organic","contactus@carriageusedcars.com","contactus@carriageusedcars.com","https://maps.google.com/?cid=3529706659785278763",4.7,282,"Gainesville, GA"
"Sabrina Auto Sales","1512 Madison Hwy, Valdosta, GA 31601, USA","(229) 247-8412","http://www.sabrinaautosales.com/","sabrinaautosales@sabrinaautosales.com","sabrinaautosales@sabrinaautosales.com","https://maps.google.com/?cid=14335277236899527026",4.7,210,"Valdosta, GA"
"Jrs Autobuyers","1325 Union Hill Industrial Ct, Alpharetta, GA 30004, USA","(770) 751-9701","https://jrsautobuyers.com/","jrsautobuyers@yahoo.com","jrsautobuyers@yahoo.com","https://maps.google.com/?cid=12652454891234738054",4.7,140,"Alpharetta, GA"
"Southern Auto Brokers, Inc","1355 Londonderry Dr, Woodstock, GA 30188, USA","(770) 591-5991","http://www.southernautobrokers.com/","sabbrokers@aol.com","sabbrokers@aol.com","https://maps.google.com/?cid=17919758102279821231",4.7,140,"Woodstock, GA"
"Choice Automotive Group","1606 W Hill Ave, Valdosta, GA 31601, USA","(229) 244-2777","http://choiceautomotivegroup.com/","sales@choiceautomotivegroup.com","sales@choiceautomotivegroup.com","https://maps.google.com/?cid=14251862191450220177",4.7,108,"Valdosta, GA"
"Atlanta Prime Motors LLC.","2400 Lance Ct, Loganville, GA 30052, USA","(770) 554-2068","http://www.atlantaprimemotors.com/","atlantaprimemotors@gmail.com","atlantaprimemotors@gmail.com","https://maps.google.com/?cid=15745545227639333376",4.7,81,"Snellville, GA"
"Tokman Auto Sales","5659 Ogeechee Rd Lot B, Savannah, GA 31405, USA","(912) 677-1513","http://tokmanautosales.com/","tokman41@gmail.com","tokman41@gmail.com","https://maps.google.com/?cid=11200247819777565411",4.7,73,"Savannah, GA"
"Ridley Rides","1239D Russell Pkwy, Warner Robins, GA 31088, USA","(478) 551-4218","http://ridleyrides.com/","ridleyrides2020@gmail.com","ridleyrides2020@gmail.com","https://maps.google.com/?cid=5477439253773470313",4.7,69,"Warner Robins, GA"
"Rick Hendrick Chevrolet Atlanta","3277 Satellite Blvd, Duluth, GA 30096, USA","(678) 497-4598","https://www.hendrickatlanta.com/?utm_source=weblistings&utm_medium=organic&utm_campaign=hendricklocallistings","shon.phillips@hendrickauto.com","shon.phillips@hendrickauto.com","https://maps.google.com/?cid=1573896269233538611",4.6,13150,"Atlanta, GA"
"AutoNation Toyota Thornton Road","1000 Blairs Bridge Rd, Lithia Springs, GA 30122, USA","(770) 674-6082","https://www.autonationtoyotathorntonroad.com/?utm_source=local&utm_medium=organic&utm_campaign=*000012247*GMB","gm2224@autonation.com","gm2224@autonation.com","https://maps.google.com/?cid=5895391683844530371",4.6,9422,"Douglasville, GA"
"Jim Ellis Toyota of McDonough","144 Hwy 81, McDonough, GA 30253, USA","(770) 685-6704","https://www.jimellistoyota.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp+sales","tomquote@jimellis.com","tomquote@jimellis.com","https://maps.google.com/?cid=10348294316851086258",4.6,6336,"McDonough, GA"
"Nalley Honda","4197 Jonesboro Rd, Union City, GA 30291, USA","(770) 756-8717","https://www.nalleyhonda.com/","leads@nalleyhondauc.com","leads@nalleyhondauc.com","https://maps.google.com/?cid=7608317864417713044",4.6,6311,"Union City, GA"
"O. C. Welch Ford","4920 Independence Blvd Hwy 278, Hardeeville, SC 29927, USA","(843) 288-0100","https://www.goseeocford.com/","support@ocwelchfordlincoln.com","support@ocwelchfordlincoln.com","https://maps.google.com/?cid=7379412277923572019",4.6,4300,"Savannah, GA"
"Athens Ford","4260 Atlanta Hwy, Athens, GA 30606, USA","(706) 521-0778","https://www.athensford.com/?utm_source=google&utm_medium=organic&utm_campaign=google-my-business","feedback@athensford.com","feedback@athensford.com","https://maps.google.com/?cid=12841039537284072047",4.6,4150,"Athens, GA"
"Riverside Toyota","131 US-411, Rome, GA 30161, USA","(706) 291-2886","https://www.riversidetoyota.com/?utm_source=GMBlisting&utm_medium=organic","johna@riversideautogroup.com","johna@riversideautogroup.com","https://maps.google.com/?cid=11820195289141063053",4.6,3708,"Rome, GA"
"Stone Mountain Volkswagen","3500 Stone Mountain Hwy, Snellville, GA 30078, USA","(678) 367-4286","https://www.stonemountainvw.com/?utm_source=google&utm_medium=organic&utm_campaign=google-my-business","sales@stonemountainvw.com","sales@stonemountainvw.com","https://maps.google.com/?cid=16332853233692768467",4.6,3647,"Snellville, GA"
"Carriage Kia of Woodstock","630 Olde Rope Mill Park Rd, Woodstock, GA 30188, USA","(678) 744-2000","https://www.carriagekiawoodstock.com/?utm_source=gmb&utm_medium=organic","wecare@carriagekiawoodstock.com","wecare@carriagekiawoodstock.com","https://maps.google.com/?cid=3874493868251353251",4.6,3461,"Woodstock, GA"
"Five Star Nissan","839 Warren Dr, Warner Robins, GA 31088, USA","(478) 306-1581","https://www.fivestarnissan.com/?utm_source=google&utm_medium=organic&utm_campaign=google_my_business","sales@fivestarnissanwr.edealerhub.com","sales@fivestarnissanwr.edealerhub.com; sgriffin@formationadvertising.com","https://maps.google.com/?cid=18119581866733796742",4.6,3225,"Warner Robins, GA"
"ALM Kennesaw","2255 Barrett Lakes Blvd, Kennesaw, GA 30144, USA","(678) 213-5700","https://www.almcars.com/location/alm-kennesaw.htm?utm_source=google&utm_medium=organic&utm_campaign=gmb","sales@almathens.com","sales@almathens.com; feedback@almcars.com","https://maps.google.com/?cid=17183869877464462780",4.6,2768,"Kennesaw, GA"
